"Subject","Bin","Time","ToTarget","ToDistractors","Proportion","Trials","elogit","elogit_weights","ot1","ot2"
"001L",1,249.819,27,78,0.257142857142857,43,-1.04891262011584,0.0491024898668211,-0.305856808158285,0.369357186450725
"001L",2,299.7828,23,84,0.214953271028037,43,-1.27975111321302,0.0543875110159889,-0.284763235181852,0.292938458219541
"001L",3,349.7466,21,86,0.196261682242991,43,-1.39209147880422,0.0580723215485952,-0.263669662205418,0.221978210576298
"001L",4,399.7104,18,87,0.171428571428571,43,-1.55386806127929,0.0654826254826255,-0.242576089228985,0.156476443520997
"001L",5,449.6742,18,81,0.181818181818182,43,-1.48283228816254,0.0663239927043608,-0.221482516252551,0.0964331570536376
"001L",6,499.638,18,80,0.183673469387755,43,-1.47048645234024,0.0664764143025013,-0.200388943276118,0.0418483511742202
"001L",7,549.6018,15,77,0.16304347826087,43,-1.6094379124341,0.0774193548387097,-0.179295370299685,-0.00727797411725557
"001L",8,599.5656,19,75,0.202127659574468,43,-1.35371819068528,0.0645270843946341,-0.158201797323251,-0.0509458188207896
"001L",9,649.5294,24,80,0.230769230769231,43,-1.18958406687384,0.0532386867790594,-0.137108224346818,-0.0891551829363819
"001L",10,699.4932,23,78,0.227722772277228,43,-1.20609820363825,0.0552920449925464,-0.116014651370384,-0.121906066464032
"001L",11,749.457,21,84,0.2,43,-1.36869859922951,0.058345947433604,-0.0949210783939507,-0.149198469403741
"001L",12,799.4208,19,91,0.172727272727273,43,-1.54592450671177,0.0622110130306852,-0.0738275054175172,-0.171032391755508
"001L",13,849.3846,17,93,0.154545454545455,43,-1.67576055536517,0.0678380443086325,-0.0527339324410837,-0.187407833519333
"001L",14,899.3484,18,94,0.160714285714286,43,-1.63082910241542,0.0646360646360646,-0.0316403594646502,-0.198324794695217
"001L",15,949.3122,19,95,0.166666666666667,43,-1.58871178191698,0.061753255470533,-0.0105467864882168,-0.203783275283159
"001L",16,999.276,24,90,0.210526315789474,43,-1.3066767331552,0.0518660502875183,0.0105467864882167,-0.203783275283159
"001L",17,1049.2398,30,90,0.25,43,-1.08762316709251,0.0438366090028077,0.0316403594646503,-0.198324794695217
"001L",18,1099.2036,30,89,0.252100840336134,43,-1.07651194166744,0.0439600696034435,0.0527339324410837,-0.187407833519333
"001L",19,1149.1674,27,87,0.236842105263158,43,-1.15745278869104,0.0477922077922078,0.0738275054175172,-0.171032391755508
"001L",20,1199.1312,27,87,0.236842105263158,43,-1.15745278869104,0.0477922077922078,0.0949210783939507,-0.149198469403741
"001L",21,1249.095,24,88,0.214285714285714,43,-1.2843294344632,0.0521157615588608,0.116014651370384,-0.121906066464032
"001L",22,1299.0588,24,82,0.226415094339623,43,-1.21412517578995,0.0529375386518244,0.137108224346818,-0.0891551829363819
"001L",23,1349.0226,25,80,0.238095238095238,43,-1.14957873226014,0.051638046522957,0.158201797323251,-0.0509458188207897
"001L",24,1398.9864,28,78,0.264150943396226,43,-1.01319453751376,0.0478265728014303,0.179295370299685,-0.00727797411725567
"001L",25,1448.9502,30,78,0.277777777777778,43,-0.945371941174997,0.0455257387490864,0.200388943276118,0.0418483511742201
