"Subject","Reason","Value"
"028L","TooFewTrials",17
"033L","TooFewTrials",6
"037L","TooFewTrials",18
"044L","TooFewTrials",19
"066L","TooFewTrials",19
"071L","TooFewTrials",19
"079L","TooFewTrials",11
"091L","TooFewTrials",15
"127L","TooFewTrials",14
"622L","TooFewTrials",12
"625L","TooFewTrials",15
"627L","TooFewTrials",15
"631L","TooFewTrials",4
"634L","TooFewTrials",8
"636L","TooFewTrials",7
"638L","TooFewTrials",19
"639L","TooFewTrials",18
"646L","TooFewTrials",17
"647L","TooFewTrials",11
"649L","TooFewTrials",17
"654L","TooFewTrials",2
"661L","TooFewTrials",18
"665L","TooFewTrials",14
"680L","TooFewTrials",5
"683L","TooFewTrials",14
"688L","TooFewTrials",4
