"","Subject","Bin","Time","ToTarget","ToDistractors","Proportion","Trials","elogit","elogit_weights","ot1","ot2"
"1","002L",1,249.819,30,98,0.234375,44,-1.17232986456468,0.042939169509861,-0.305856808158285,0.369357186450725
"2","002L",2,299.7828,30,101,0.229007633587786,44,-1.20233211486848,0.0426391019946701,-0.284763235181852,0.292938458219541
"3","002L",3,349.7466,33,96,0.255813953488372,44,-1.05799756951392,0.0402134405691748,-0.263669662205418,0.221978210576298
"4","002L",4,399.7104,35,93,0.2734375,44,-0.968428739813271,0.0388642012502824,-0.242576089228985,0.156476443520997
"5","002L",5,449.6742,36,87,0.292682926829268,44,-0.874326532775123,0.038825831702544,-0.221482516252551,0.0964331570536376
"6","002L",6,499.638,40,79,0.336134453781513,44,-0.674455047547793,0.0372699743768926,-0.200388943276118,0.0418483511742202
"7","002L",7,549.6018,50,74,0.403225806451613,44,-0.3888257891042,0.0332247989899661,-0.179295370299685,-0.00727797411725557
"8","002L",8,599.5656,47,74,0.388429752066116,44,-0.450069414344918,0.0344754503708937,-0.158201797323251,-0.0509458188207896
"9","002L",9,649.5294,48,78,0.380952380952381,44,-0.481534826844925,0.0333574102042156,-0.137108224346818,-0.0891551829363819
"10","002L",10,699.4932,49,81,0.376923076923077,44,-0.498630350672172,0.032471958852327,-0.116014651370384,-0.121906066464032
"11","002L",11,749.457,57,70,0.448818897637795,44,-0.203827762014918,0.0315757015109467,-0.0949210783939507,-0.149198469403741
"12","002L",12,799.4208,62,66,0.484375,44,-0.0620353909194526,0.0310375939849624,-0.0738275054175172,-0.171032391755508
"13","002L",13,849.3846,58,69,0.456692913385827,44,-0.172299998332936,0.0314825063026502,-0.0527339324410837,-0.187407833519333
"14","002L",14,899.3484,58,67,0.464,44,-0.143100843640673,0.0319088319088319,-0.0316403594646502,-0.198324794695217
"15","002L",15,949.3122,64,63,0.503937007874016,44,0.0156253179030808,0.0312519074650552,-0.0105467864882168,-0.203783275283159
"16","002L",16,999.276,69,62,0.526717557251908,44,0.106160195828391,0.0303884892086331,0.0105467864882167,-0.203783275283159
"17","002L",17,1049.2398,72,59,0.549618320610687,44,0.197610249309045,0.0305998261373515,0.0316403594646503,-0.198324794695217
"18","002L",18,1099.2036,74,54,0.578125,44,0.312598423716315,0.0317714426451573,0.0527339324410837,-0.187407833519333
"19","002L",19,1149.1674,84,42,0.666666666666667,44,0.687247458432757,0.0353637312913331,0.0738275054175172,-0.171032391755508
"20","002L",20,1199.1312,90,36,0.714285714285714,44,0.908037590117435,0.0384469840308787,0.0949210783939507,-0.149198469403741
"21","002L",21,1249.095,92,35,0.724409448818898,44,0.957675948037009,0.0389798248953179,0.116014651370384,-0.121906066464032
"22","002L",22,1299.0588,90,32,0.737704918032787,44,1.02410976137019,0.0418189545261368,0.137108224346818,-0.0891551829363819
"23","002L",23,1349.0226,96,32,0.75,44,1.08830291900925,0.0411319250697489,0.158201797323251,-0.0509458188207897
"24","002L",24,1398.9864,96,28,0.774193548387097,44,1.21963892107034,0.0454504135987637,0.179295370299685,-0.00727797411725567
"25","002L",25,1448.9502,96,28,0.774193548387097,44,1.21963892107034,0.0454504135987637,0.200388943276118,0.0418483511742201
"26","002L",26,1498.914,96,29,0.768,44,1.18515274499917,0.0442609993852639,0.221482516252552,0.0964331570536376
"27","002L",27,1548.8778,94,31,0.752,44,1.09861228866811,0.0423280423280423,0.242576089228985,0.156476443520997
"28","002L",28,1598.8416,96,32,0.75,44,1.08830291900925,0.0411319250697489,0.263669662205418,0.221978210576298
"29","002L",29,1648.8054,101,30,0.770992366412214,44,1.20233211486848,0.0426391019946701,0.284763235181852,0.292938458219541
"30","002L",30,1698.7692,102,30,0.772727272727273,44,1.2121361149651,0.0425429828068773,0.305856808158285,0.369357186450725
"31","003L",1,249.819,36,69,0.342857142857143,44,-0.644014491982301,0.0417857494826057,-0.305856808158285,0.369357186450725
"32","003L",2,299.7828,38,72,0.345454545454545,44,-0.632928320566891,0.0397671294223018,-0.284763235181852,0.292938458219541
"33","003L",3,349.7466,39,70,0.357798165137615,44,-0.579312037911147,0.0395008528593231,-0.263669662205418,0.221978210576298
"34","003L",4,399.7104,36,70,0.339622641509434,44,-0.658300449229777,0.0415816574370932,-0.242576089228985,0.156476443520997
"35","003L",5,449.6742,37,72,0.339449541284404,44,-0.659245628884264,0.0404597701149425,-0.221482516252551,0.0964331570536376
"36","003L",6,499.638,43,66,0.394495412844037,44,-0.42444100956717,0.0380260997320888,-0.200388943276118,0.0418483511742202
"37","003L",7,549.6018,44,69,0.389380530973451,44,-0.445837563398552,0.0368603993209926,-0.179295370299685,-0.00727797411725557
"38","003L",8,599.5656,46,76,0.377049180327869,44,-0.49783842823918,0.0345772717689226,-0.158201797323251,-0.0509458188207896
"39","003L",9,649.5294,48,77,0.384,44,-0.468714138415864,0.0335217825074825,-0.137108224346818,-0.0891551829363819
"40","003L",10,699.4932,48,74,0.39344262295082,44,-0.429235327442076,0.0340413754929772,-0.116014651370384,-0.121906066464032
"41","003L",11,749.457,50,70,0.416666666666667,44,-0.333639373536909,0.0339863773611404,-0.0949210783939507,-0.149198469403741
"42","003L",12,799.4208,50,74,0.403225806451613,44,-0.3888257891042,0.0332247989899661,-0.0738275054175172,-0.171032391755508
"43","003L",13,849.3846,48,77,0.384,44,-0.468714138415864,0.0335217825074825,-0.0527339324410837,-0.187407833519333
"44","003L",14,899.3484,50,74,0.403225806451613,44,-0.3888257891042,0.0332247989899661,-0.0316403594646502,-0.198324794695217
"45","003L",15,949.3122,52,71,0.422764227642276,44,-0.308884280102384,0.033033633033633,-0.0105467864882168,-0.203783275283159
"46","003L",16,999.276,62,60,0.508196721311475,44,0.0325231917055599,0.0325289256198347,0.0105467864882167,-0.203783275283159
"47","003L",17,1049.2398,68,55,0.552845528455285,44,0.210450724515791,0.0326165581640034,0.0316403594646503,-0.198324794695217
"48","003L",18,1099.2036,71,47,0.601694915254237,44,0.408967738659366,0.0350386455649614,0.0527339324410837,-0.187407833519333
"49","003L",19,1149.1674,77,42,0.647058823529412,44,0.60077386042893,0.0364326375711575,0.0738275054175172,-0.171032391755508
"50","003L",20,1199.1312,81,40,0.669421487603306,44,0.699301046134324,0.0369612966749981,0.0949210783939507,-0.149198469403741
"51","003L",21,1249.095,83,37,0.691666666666667,44,0.800505698880445,0.0386427145708583,0.116014651370384,-0.121906066464032
"52","003L",22,1299.0588,86,37,0.699186991869919,44,0.835803480961469,0.0382273603082852,0.137108224346818,-0.0891551829363819
"53","003L",23,1349.0226,86,39,0.688,44,0.783843742030757,0.036877149337821,0.158201797323251,-0.0509458188207897
"54","003L",24,1398.9864,84,38,0.688524590163934,44,0.78609329306939,0.0378083455006532,0.179295370299685,-0.00727797411725567
"55","003L",25,1448.9502,80,45,0.64,44,0.570544858467613,0.0344003822264692,0.200388943276118,0.0418483511742201
"56","003L",26,1498.914,79,48,0.622047244094488,44,0.494193223716849,0.0331971730532322,0.221482516252552,0.0964331570536376
"57","003L",27,1548.8778,78,46,0.629032258064516,44,0.523646312195052,0.0342442298472707,0.242576089228985,0.156476443520997
"58","003L",28,1598.8416,74,46,0.616666666666667,44,0.471346812792203,0.0349281951360323,0.263669662205418,0.221978210576298
"59","003L",29,1648.8054,70,45,0.608695652173913,44,0.437900383861318,0.0361624191411425,0.284763235181852,0.292938458219541
"60","003L",30,1698.7692,72,43,0.626086956521739,44,0.510825623765991,0.0367816091954023,0.305856808158285,0.369357186450725
"61","004L",1,249.819,23,76,0.232323232323232,40,-1.18029031968238,0.0556250869141983,-0.305856808158285,0.369357186450725
"62","004L",2,299.7828,24,81,0.228571428571429,40,-1.20192990269614,0.053086265180919,-0.284763235181852,0.292938458219541
"63","004L",3,349.7466,24,78,0.235294117647059,40,-1.16442550723768,0.053555180033797,-0.263669662205418,0.221978210576298
"64","004L",4,399.7104,27,82,0.247706422018349,40,-1.09861228866811,0.0484848484848485,-0.242576089228985,0.156476443520997
"65","004L",5,449.6742,29,70,0.292929292929293,40,-0.871222446472449,0.0480827022478663,-0.221482516252551,0.0964331570536376
"66","004L",6,499.638,38,64,0.372549019607843,40,-0.516006982507988,0.0414779019430182,-0.200388943276118,0.0418483511742202
"67","004L",7,549.6018,42,67,0.385321100917431,40,-0.462623521948113,0.0383442265795207,-0.179295370299685,-0.00727797411725557
"68","004L",8,599.5656,45,64,0.412844036697248,40,-0.348952897844822,0.0374818979470142,-0.158201797323251,-0.0509458188207896
"69","004L",9,649.5294,44,61,0.419047619047619,40,-0.323547985640278,0.0387320727139856,-0.137108224346818,-0.0891551829363819
"70","004L",10,699.4932,42,59,0.415841584158416,40,-0.336472236621213,0.0403361344537815,-0.116014651370384,-0.121906066464032
"71","004L",11,749.457,45,49,0.478723404255319,40,-0.0842603436177398,0.0421800421800422,-0.0949210783939507,-0.149198469403741
"72","004L",12,799.4208,48,46,0.51063829787234,40,0.0421114853501268,0.042123933045117,-0.0738275054175172,-0.171032391755508
"73","004L",13,849.3846,55,52,0.514018691588785,40,0.0555698511548108,0.0370656370656371,-0.0527339324410837,-0.187407833519333
"74","004L",14,899.3484,58,56,0.508771929824561,40,0.0347861160854156,0.0347931321382649,-0.0316403594646502,-0.198324794695217
"75","004L",15,949.3122,57,57,0.5,40,0,0.0347826086956522,-0.0105467864882168,-0.203783275283159
